Job Title,Company,Job Link,Extracted Text,index
Backend DeveloperWebxpay (Pvt) Ltd,Webxpay (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229721&pg=index.jsp,"We are hiring for a Backend Developer position. The role involves implementing new systems and redesigning legacy systems using the latest technology. The ideal candidate should have strong understanding of coding languages, experience with cloud platforms, and knowledge of infrastructure management. Strong communication skills and the ability to work in a team are also important. If interested, please send your CV to the provided email address.",80
Credit OfficerLanka Credit and Business Finance PLC,Lanka Credit and Business Finance PLC,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229715&pg=index.jsp,"The job vacancy is for a Credit Officer position at Lanka Credit and Business Finance PLC. Responsibilities include credit evaluation, financial analysis, customer profitability assessment, compliance with credit circulars, and valuation report assessment. Key requirements include a professional qualification in AAT/IBSL or related finance discipline, knowledge in financial analysis and credit circulars, 1-3 years of experience in credit evaluation, and strong presentation, problem-solving, and analytical skills. Interested candidates can forward their CV to careers@lcbfinance.lk with the subject line indicating the position they are applying for.",81
Factory Finance Manager - BuththalaPelwatte Dairy Industries Ltd,Pelwatte Dairy Industries Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229708&pg=index.jsp,"The job vacancy is for a Factory Finance Manager in the Monaragala District. Responsibilities include preparing monthly management accounts, monitoring production information, tracking key expenses, monitoring production against budget, driving cost-saving initiatives, managing wastage and scrap sale, ensuring accurate stock count, facilitating ad hoc reporting, and re-engineering processes. The ideal candidate should have exposure to lean practices, excellent communication skills (English/Sinhala/Tamil), and a passion for growth. Interested candidates can apply by sending their CV to hassntha@pelwattedairy.com with the subject line ""Factory Finance Manager.""",82
Finance ManagerSolarRay Energy (Pvt) Ltd,SolarRay Energy (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229697&pg=index.jsp,"SolarRay Energy is seeking a qualified Finance Manager to join their team. The responsibilities include managing accounting transactions, preparing budget forecasts, publishing financial statements, reconciling accounts payable and receivable, handling bank payments, computing taxes, managing balance sheets and profit/loss statements, auditing financial transactions, and ensuring financial data confidentiality. The ideal candidate should have at least 5 years of finance experience with 2 years in a leadership role, be a qualified professional in CA/CIMA/ACCA, possess strong organizational skills, excellent communication skills, problem-solving abilities, and proficiency in finance software packages and MS Excel. Treasury management experience is a plus, and applicants must be under 35 years old.",83
Accounts ExecutiveMA's Kitchen,MA's Kitchen,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229735&pg=index.jsp,"The job vacancy is for an experienced Accounts Executive at MA’s Kitchen. The responsibilities include managing accounts payable and receivable processes, processing invoices and payments accurately, reconciling bank statements, generating and analyzing financial reports, assisting with month-end closing procedures, maintaining accurate financial records in QuickBooks Online, staying informed of relevant regulations and accounting practices, and providing support to other departments with financial data and analysis. The candidate should have a degree in accounting or finance, a minimum of 2 years of experience in an accounts/finance role, excellent written and verbal communication skills, be task-oriented and able to work independently, be proficient in QuickBooks Online and Microsoft Excel, and have experience working in a computerized accounting environment.",84
Pattern MakerRitz Design Center,Ritz Design Center,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229731&pg=index.jsp,"The job vacancy is for a Pattern Maker with responsibilities including creating accurate patterns from design sketches, collaborating with designers and sample makers, making adjustments to patterns, providing technical support to the product team, grading patterns in different sizes, inspecting patterns for quality, maintaining detailed records, using pattern making software, and working closely with other departments. Requirements include at least 3 years of experience in pattern making in the apparel industry, a diploma or degree in Fashion Design or a related field, proficiency in pattern-making software, strong understanding of garment construction, technical drawing skills, attention to detail, interpersonal and communication skills, and problem-solving abilities. Applicants can submit their applications to the provided email address by 27th June 2024.",85
AccountantRitz Design Center,Ritz Design Center,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229727&pg=index.jsp,"Job vacancy for an Accountant at Ritz Design Center. Responsibilities include supporting, monitoring, and analyzing data, maintaining management accounting database, coordinating with plant accountants, providing timely information for budgeting, and performing additional duties as requested by management. Requirements include full academic or professional qualification in finance & accounting, knowledge of LKAS & Corporate Taxes, 1-3 years of experience in an Audit Firm, leadership & team building skills, communication skills, analytical skills, ability to work on an ERP System & QB account package, and computer literacy in MS Office. Application deadline is 27th June 2024.",86
Executive - Human Resources (Galle)Orel IT (Pvt) Ltd,Orel IT (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229718&pg=index.jsp,"The job vacancy is for an Executive position in Human Resources at OREL IT. The desired qualifications and experience for the role are not specified in the provided text. The responsibilities for the position likely include managing HR functions, overseeing employee relations, and implementing HR policies and procedures. The company, contact details, and specific job requirements are not mentioned in the text.",87
Executive - Marketing & Business Development (Screen Printing)JK Garments (Private) Limited,JK Garments (Private) Limited,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229709&pg=index.jsp,"The job vacancy is for an Executive Marketing & Business Development role in Screen Printing at JK Garments (Pvt) Ltd. The ideal candidate should have a degree or diploma in marketing or business management, at least 2 years of experience in a marketing role in an apparel screen printing facility, excellent interpersonal and communication skills, and the ability to manage existing customer relationships, introduce new customers, prepare order forecasts, and coordinate with internal and external stakeholders. Interested candidates can forward their CV to careers@jkprint.com or call 0768297095 for more information.",88
Technical Writer Orel IT,Orel IT,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229668&pg=index.jsp,"The job vacancy is for a Technical Writer at a company. The responsibilities include creating and editing technical documents, collaborating with teams, and ensuring accuracy and clarity in written materials. The requirements for the job may include a degree in a relevant field, experience in technical writing, attention to detail, and strong communication skills. Applicants are encouraged to contact corcen@orettt.com for more information.",89
Manager / Assistant Manager - Accounting and Taxation Ventura BPO  Pvt Ltd,Ventura BPO  Pvt Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229659&pg=index.jsp,"The job vacancy is for a Manager/Assistant Manager in Accounting & Taxation at Ventura BPO. The ideal candidate should preferably be a graduate in Finance or Management with at least 5 years of experience in accounting. They should have excellent knowledge of accounting principles and computer literacy, as well as strong communication skills. Previous experience in a BPO company is an added advantage. Interested individuals can forward their resumes to info@venturabpo.com with the names and contact details of two referees.",90
Marketing Manager Bread Talk,Bread Talk,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229654&pg=index.jsp,"The job vacancy is for a Marketing Manager with a strong background in digital marketing to join a restaurant chain. Responsibilities include creating engaging content, collaborating with agencies, staying updated on industry trends, and managing branding work. Qualifications include at least 2 years of experience in marketing and a Bachelor's degree in a related field. Contact details for the job vacancy are darshana@breadtalksrilanka.com.",91
Culinary Lecturers Bread Talk,Bread Talk,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229647&pg=index.jsp,"The job vacancy is for Culinary Lecturers at BreadTalk Academy. The candidates should have a Bachelor's Degree or Diploma in Hotel Management, at least 5 years of industry experience in baking, bun, puff, and cake production, and a minimum of 3 years teaching experience in culinary or related fields. The ideal candidates should have a strong commitment to teaching, passion for baking, excellent communication skills, and the ability to plan and implement engaging learning activities. They should also possess strong assessment skills to evaluate and document student progress effectively.",92
Cricket Coach (Full Time)British School,British School,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229643&pg=index.jsp,"The British School in Colombo is seeking a Full Time Cricket Coach with relevant teaching qualifications and experience. The ideal candidate must have a good command of English, be able to deliver quality training sessions, organize tournaments and events, and be flexible in their coaching approach. Responsibilities include motivating and inspiring children to learn and progress in Cricket, attending all tournaments and fixtures, and displaying a professional attitude towards work. Applications must be submitted by 18 June 2024.",93
Finance Executive - Colombo 2Richlife Dairies Ltd,Richlife Dairies Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229639&pg=index.jsp,"The Finance Executive position at Renuka Foods PLC in Colombo 2 requires the submission of timely and accurate monthly financial reports, reviewing insurance coverage for assets, assisting in physical verification of fixed assets, ensuring all taxes are paid accurately and on time, and maintaining efficient financial processes. The ideal candidate should be a part-qualified CIMA/CA/ACCA with at least 2 years of relevant experience, have a strong knowledge of MS Office and ERP systems, and be familiar with costing and management accounting. The selected candidate will receive a competitive remuneration package based on qualifications and experience.",94
Electrical Instrument Technician / WelderHettigoda Group,Hettigoda Group,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229630&pg=index.jsp,The job vacancy is for a WELDER with previous experience required. Proficiency in various welding techniques such as MIG and TIG is necessary. Competitive salary based on experience. Applicants must hold a relevant license. Interested candidates should submit their CV with a recent passport size photograph and 2 work-related referees within 7 days of the advertisement. Reference No. S/HR/317.,95
AccountantR S W Engineering (Pvt) Ltd,R S W Engineering (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229623&pg=index.jsp,"The job vacancy at RS Wickramasinghe & Company (Pvt) Limited requires a Bachelor's degree in Accounting, Finance, or CIMA qualification, along with a minimum of 5 years of experience in civil construction or related fields. The ideal candidate should have a proven track record of managing financial operations and leading a finance team, as well as strong knowledge of accounting principles and financial regulations. An attractive remuneration package is offered for the position. Interested candidates are required to submit their CV by June 25th, 2024.",96
Tour Executive / Senior Tour ExecutiveExemplary Voyages (Pvt) Ltd,Exemplary Voyages (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229612&pg=index.jsp,"Exemplary Voyages Pvt Ltd is seeking a Tour Executive/Senior Tour Executive to handle sales inquiries, bookings, documentation, complaints handling, itinerary planning, and customer queries. The ideal candidate should have strong communication skills in English, 2-3 years of experience in a similar role, good rapport with hoteliers, and the ability to work in a multitasking environment. If interested, please send your resume to hr@exemplaryvoyages.com.",97
Engineering AssistantCeynergy Dynamic Holdings (Pvt) Ltd,Ceynergy Dynamic Holdings (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229606&pg=index.jsp,"The job vacancy is for an Engineering Assistant at Ceynergy. The ideal candidate should have at least 2 years of experience handling all stages of engineering in small to large Solar PV power plants. They should have a degree in engineering and be detail-oriented and ambitious. Responsibilities include assisting engineers with testing and inspections, handling customer inquiries and complaints, and coordinating with clients when necessary. Preferred qualifications include good time management skills, a valid driver's license, and the ability to work in a fast-paced environment with a pleasant personality.",98
Account Manager - Russian & CIS MarketKarusan Travels (Pvt) Ltd,Karusan Travels (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229594&pg=index.jsp,"The job vacancy is for an Account Manager for the Russian and CIS market in the inbound operations team of Karusan Travels. The qualifications required include a minimum of 5-7 years of working experience in travel account management, a diploma or higher educational qualification in Tourism & Hospitality, fluency in English with excellent communication skills, knowledge of planning and developing travel packages, executing inbound travel itineraries, and meeting deadlines. Knowledge of the Russian language is an added advantage. Age requirement is 28-46. If you have the required skills and experience, please email your CV to info@karusantravels.com.",99
Embroidery and Laser Machine TechnicianApparel Technologies (Pvt) Limited,Apparel Technologies (Pvt) Limited,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229589&pg=index.jsp,The job vacancy is for an Embroidery and Laser Machine Technician. The responsibilities include operating and maintaining embroidery and laser machines. The ideal candidate should have qualifications and experience in machine operation and maintenance. Additional details can be found on the company's career page.,100
Assistant Manager / Executive - Assurance Kreston Sri Lanka,Kreston Sri Lanka,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229581&pg=index.jsp,"Job vacancy for Assistant Manager (External Audit) and Executive Assurance (External Audit) with educational qualifications and other requirements. Responsibilities include conducting audits, preparing audit reports, and ensuring compliance with regulations. Candidates must have a relevant degree and professional certifications such as ACCA or CPA. Strong communication skills and attention to detail are essential. Apply with a resume and cover letter by the deadline.",101
Account AssistantLal Construction & Engineering (Pvt) Ltd,Lal Construction & Engineering (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229565&pg=index.jsp,"The job vacancy is for an Accounts Assistant at LAL CONSTRUCTION & ENGINEERING (PVT) LTD. The responsibilities include recording purchase and other bills, maintaining relevant documents, handling petty cash, and maintaining petty cash reports. The job requirements include having a CA/CIMA/CMA/ACCA part qualification, being between the ages of 20-25, excellent computer literacy, teamwork skills, ability to work under pressure, and good communication skills.",102
Staff Nurses Royal Hospital (Pvt) Ltd,Royal Hospital (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229557&pg=index.jsp,"The Royal Hospital is hiring Staff Nurses with a minimum of 3 years experience, NTS Diploma, and PHSRC Nursing Registration. Nurses should be willing to work on a shift basis and possess good communication and hospitality skills. Experience in ICU/Maternity & Pediatric Ward is a plus. An attractive remuneration package and excellent career prospects are offered for the right candidate.",103
Mold MakerKRAMSKI Lanka (Pvt) Ltd,KRAMSKI Lanka (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229551&pg=index.jsp,"The job vacancy at US LEMS is for a Maintenance Technician to maintain and repair injection molding tools and equipment, ensuring availability for production orders. Responsibilities include assembling new molds, debugging and optimizing tools, and handling standard components. Requirements include a degree in mechanical engineering or related field, professional experience in tool making and injection molding, and proficiency in reading technical drawings. Candidates must have a high quality awareness, be computer literate, and be able to communicate in Sinhala and English. Willingness to work in shifts is also required. Interested applicants should send their complete documents to applications-Ik@ik.kramski.com.",104
Development MerchandiserSMT Apparel Lanka Limited,SMT Apparel Lanka Limited,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229546&pg=index.jsp,"SMI Apparel Lanka is seeking male and female candidates for a Development Merchandiser role. The ideal candidate should have a G.C.E A Level qualification, Diploma in Clothing Technology, and at least one year of working experience in a reputed company, preferably in garment manufacturing. Responsibilities include studying order sketches, developing samples, coordinating with suppliers and various departments, and ensuring timely completion of projects. Strong organizational and communication skills are required. Interested candidates should submit their CV with references within 19 days of the advertisement.",105
HR ExecutiveEdward and Christie (Pvt) Ltd,Edward and Christie (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229531&pg=index.jsp,"The job vacancy is for an HR Executive with a degree or diploma in Human Resources Management and 2-3 years of experience in HR operational work. The candidate should have knowledge of MS Excel and payroll processing, ability to work independently, high work ethics, and good interpersonal skills. The responsibilities include managing multiple tasks, maintaining high work standards, and demonstrating self-motivation. An attractive remuneration package and benefits are offered.",106
Accounts AssistantAvalon,Avalon,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229500&pg=index.jsp,"The Accounts Assistant will be responsible for handling queries, generating reports, conducting bank reconciliations, and performing finance-related functions. The ideal candidate should have a G.C.E. (A/L) qualification in Commerce, a minimum of 2 years of experience in finance, proficiency in accounting packages and Microsoft Office, and a part qualification in ICASL or AAT. Candidates below 30 years old who can join immediately are preferred.",107
Senior Engineer / Engineer -   Cloud Services (Windows)Sysco LABS,Sysco LABS,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229495&pg=index.jsp,"The job vacancy is for a Cloud Services (Windows) position at Sysco PAIS mine. The job requirements include experience with cloud services and Windows platforms. Responsibilities may include migrating to Sysco Labs and working on cloud-related projects. For more information, interested candidates can visit syscolabs.|k/open-vacancies.",108
Grants SpecialistGlobal Communities,Global Communities,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229489&pg=index.jsp,"The Grants Specialist position at Global Communities in Colombo, Sri Lanka, requires a Bachelor's degree in business management, finance, accounting, or a related field, along with relevant work experience in USAID or similar internationally funded programs. The role involves supporting the Grants Manager in reviewing applications and proposals, documenting grant awards, coordinating with grantees, and managing grant portfolios. The ideal candidate should have strong computer literacy, attention to detail, and the ability to work well in multicultural contexts. Excellent communication skills in English are essential. Interested applicants should submit a cover letter and detailed CV by the deadline mentioned in the job posting.",109
Business Development ExecutiveKensley Graduate School,Kensley Graduate School,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229483&pg=index.jsp,"The job vacancy is for a Business Development Executive. The job responsibilities include generating and providing relevant information to students, as well as meeting targets and objectives. The job requirements include having a Bachelor's degree with outgoing personality and excellent communication skills. Interested candidates can send their resume to ishani@kensleygraduateschool.com.",110
Quantity Surveyor L.P.G Engineering Services (Pvt) Ltd,L.P.G Engineering Services (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229465&pg=index.jsp,"The job vacancy is for a Quantity Surveyor to manage cost estimation, project budgeting, and financial management for a mechanical workshop. Responsibilities include preparing accurate cost estimates and budgets, managing project costs, monitoring project expenditure, preparing financial reports, and collaborating with project managers and other stakeholders. Requirements include a bachelor's degree in Quantity Surveying or Engineering, proven experience in quantity surveying, knowledge of cost management and estimation techniques, proficiency in relevant software and tools, excellent analytical and numerical skills, good communication and negotiation skills, and the ability to work independently and as part of a team.",111
Technical OfficerCompany name withheld,Company name withheld,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229460&pg=index.jsp,"The job vacancy is for Technical Officers in Colorta, with a focus on electrical work in construction sites in the Western Province. The role requires versatility, experience, and proficiency in handling electrical equipment. The successful candidate will receive an attractive remuneration package, with opportunities for career development. Responsibilities include ensuring the safety and efficiency of electrical systems, troubleshooting technical issues, and adhering to safety and quality standards.",112
Store KeeperCivicon Engineering Services (Pvt) Ltd,Civicon Engineering Services (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229455&pg=index.jsp,"The job vacancy is for a Storekeeper at Civicon Engineering Services (Pvt) Ltd. The responsibilities include performing detailed analyses and improvement plans for inventory turnover, accuracy, and on-time delivery. Qualifications include A/L qualification with computer literacy, at least one year of experience in stores management, and knowledge of the construction field is an advantage. The ideal candidate should be male, have good interpersonal skills, be below 30 years old, and reside within a 15km radius. Salary is negotiable based on experience and skills. Interested candidates should forward their CV by June 18th.",113
Manufacturing Project ManagerLeader Group,Leader Group,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229450&pg=index.jsp,"The job vacancy is for a Manufacturing Project Manager with a minimum of 10 years of experience in project management within the manufacturing sector. The responsibilities include managing the end-to-end project lifecycle, overseeing project design and compliance, supervising construction activities, and coordinating with stakeholders for smooth project execution. Requirements also include a strong engineering background, proven track record in site selection, design, compliance, and government approvals, ability to manage environmental impact assessments, willingness to relocate, and excellent leadership and communication skills.",114
Site Engineer (Mechanical)Company Name Withheld,Company Name Withheld,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229445&pg=index.jsp,"The company is looking to hire a Site Engineer (Mechanical) with a BSc or HND in Mechanical Engineering and at least 4 years of experience. The candidate should have strong knowledge in ME&P systems installation and maintenance, experience in ELV systems, project management skills, and the ability to manage site staff and meet project deadlines. Excellent organizational and communication skills in English and Sinhala are also required. The salary is competitive with attractive benefits. Applicants must submit their CV by June 20, 2024.",115
Restaurant VacanciesChaat.co,Chaat.co,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229440&pg=index.jsp,"The job vacancy is for a Manager Restaurant position, requiring skills in managing staff, chefs, and orders, as well as managing outdoor events and online/offline orders. The responsibilities include stock management against purchasing and maintaining customer relationships.",116
Call Center ExecutivesActiv8 Asia,Activ8 Asia,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229435&pg=index.jsp,"The job vacancy is for Call Center Executives at e@ctiv asia. The job requirements include being aged between 18-35, having good communication skills in English, and previous experience in customer service. The job responsibilities include meeting personal and team targets. The remuneration package exceeds Rs. 75,000 and is above industry standard.",117
ReceptionistMatammana Orthopedic Suppliers Company Pvt Ltd,Matammana Orthopedic Suppliers Company Pvt Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229430&pg=index.jsp,"The job vacancy is for a Receptionist at Ottobock. The job responsibilities include managing phone calls, greeting visitors, and handling administrative tasks. Job requirements include excellent communication skills, organization, and proficiency in computer software.",118
Call Centre AgentIUSL CAMPUS,IUSL CAMPUS,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229423&pg=index.jsp,"The job vacancy is for a Customer Service Representative, responsible for providing excellent customer service over the phone and in person. The ideal candidate should have strong communication skills, be detail-oriented, and able to work in a fast-paced environment. Responsibilities include handling customer inquiries, resolving issues, and maintaining a high level of professionalism. Qualified candidates should have previous experience in customer service and be able to work well in a team.",119
Assistant Lecturer / Lecturer in English (Full-time)Universal College Lanka,Universal College Lanka,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229404&pg=index.jsp,"The job vacancy is for an Assistant Lecturer/Lecturer in English, requiring a Bachelor's or Master's degree in English or a related field, teaching experience in specified subject areas, and excellent communication skills. Responsibilities include delivering lectures, mentoring students, updating teaching materials, conducting assessments, and contributing to student learning experiences. Candidates with English teaching certificates are preferred.",120
Secretary to PrincipalIlma International Girls' School,Ilma International Girls' School,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229393&pg=index.jsp,"The job vacancy is for a Secretary to Principal at Ilma International Girls' School. The ideal candidate should possess effective communication skills, excellent computer literacy, secretarial and office administration skills, minimum 3-4 years of relevant experience, qualifications in Administration/Secretarial Studies, attention to detail, ability to maintain confidentiality, strong interpersonal skills, and be proactive. Only female candidates are encouraged to apply. Responsibilities include secretarial duties, office administration, time management, coordination, and willingness to take on additional responsibilities. An attractive remuneration package will be offered to the right candidate. Applications should include a detailed CV with a recent photograph and contact details of two referees, and should be sent to careers@ilma.edu.lk within 07 days of the advertisement.",121
Maintenance TechnicianOne Galle Face,One Galle Face,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229388&pg=index.jsp,"The job vacancy is for a Maintenance Technician at One Galle Face. The responsibilities include conducting regular inspections, maintaining records, attending to maintenance tasks, working in different disciplines, and being self-motivated. The requirements include a minimum of a relevant certificate or diploma, experience in handling mechanical and electrical equipment, and the ability to work in a team under pressure. Interested candidates should submit their CV with references by June 24th, 2024.",122
Audit ManagerIBT Consultants,IBT Consultants,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229383&pg=index.jsp,"The job vacancy is for an Audit Manager position with responsibilities including managing client relationships, conducting audits, and ensuring compliance. The requirements for the role include a degree in Accounting, strong communication skills, and the ability to work independently. The ideal candidate should have experience in audit and be detail-oriented.",123
Sales RepresentativesTreats C M B (Pvt) Ltd,Treats C M B (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229379&pg=index.jsp,"The job vacancy is for a Sales Representative at a bakery in Battaramulla. The responsibilities include managing Uber Eats, Pick Me, and Direct Orders, engaging with customers, managing inventory, and maintaining the store. Candidates should be able to fulfill orders efficiently and effectively, interact well with customers, and ensure the store is well-maintained.",124
Head of ITCompany Name Withheld,Company Name Withheld,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229375&pg=index.jsp,"The company is looking for a Head of IT with a Bachelor's degree in Computer Science or related field, 8-18 years of IT management experience, strong technical expertise in infrastructure, networking, and cyber security, excellent leadership skills, and the ability to translate business objectives into actionable IT initiatives. Responsibilities include developing and executing IT strategy, managing a team, overseeing IT infrastructure, evaluating emerging technologies, enforcing IT policies, collaborating with departments, managing budgets effectively, and staying abreast of industry best practices.",125
Marketing ExecutiveSmart Quest (Pvt)Ltd,Smart Quest (Pvt)Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=0000000013&ec=0000000013&jc=0001229369&pg=index.jsp,"The job vacancy is for a Marketing Specialist who will be responsible for designing and implementing marketing strategies, conducting market research, managing marketing campaigns across various channels, optimizing the company's website and social media profiles, and working closely with the sales team to develop marketing plans. The ideal candidate should have a Bachelor's degree in Marketing or related field, 2+ years of experience in Marketing or Sales, strong understanding of digital marketing and social media strategies, excellent communication skills, proficiency in marketing software, and strong analytical and data-driven thinking. Submit CV to jobs@smartquestconsult.com.",126
Documentation ExecutiveCargo Link International (Pvt) Limited,Cargo Link International (Pvt) Limited,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229365&pg=index.jsp,"The job vacancy requires a candidate who is self-motivated and detail oriented with strong communication skills. They should have knowledge of English and computer literacy, along with 1-2 years of experience in a similar position. Familiarity with ASYCUDA, ASYHUB, and GENSOFT is preferred. Responsibilities include entering data into the system, creating job files, submitting EDI manifests on time, generating invoices, and issuing DO to customers. An attractive remuneration package, performance-based increments, and year-end festival bonus are offered. Interested candidates can forward their resumes to careerscli2010@gmail.com.",127
Cafe Crew MemberWilliam Angliss Institute @ SLIIT,William Angliss Institute @ SLIIT,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229361&pg=index.jsp,"The job vacancy is for a Café Crew Member, responsible for greeting customers, assisting with menu selections, taking orders accurately, preparing and serving beverages, handling cash transactions, and maintaining cleanliness in the cafe. Qualifications include a certificate or diploma in hospitality/food operations, previous experience in food service or Barista roles, knowledge of coffee brewing techniques, and availability to work flexible shifts. Contact details for inquiries are provided at the end of the text.",128
Chef / Assistant CookMilk & Honey Cafe,Milk & Honey Cafe,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229352&pg=index.jsp,"Milk & Honey Café is currently hiring for a Chef and Assistant Cook. The Chef will be responsible for preparing, cooking, and presenting menu items, developing new dishes, ensuring quality in food preparation, and maintaining kitchen cleanliness. A minimum of 3 years experience is required for this role. The Assistant Cook position is open to motivated individuals with training or experience in food preparation, and the role is for day shifts only. Interested candidates can apply by contacting milkstoreHR@gmail.com.",129
Accounts OfficerMaster WovenLanka Lable (Pvt) Ltd,Master WovenLanka Lable (Pvt) Ltd,https://www.topjobs.lk/employer/JobAdvertismentServlet?ac=DEFZZZ&ec=DEFZZZ&jc=0001229334&pg=index.jsp,"The job vacancy requires candidates to be below 30 years old, have passed G.C.E O/L and A/L in commerce stream, possess good communication skills in English, and have an AAT part qualification. Responsibilities include handling communication in English and other related tasks.",130
